model,scenario_id,objective_score,coherence_cv,topic_diversity,runtime_seconds,num_topics,objective_norm,coherence_norm,diversity_norm,runtime_norm,composite_score,rank
LDA,lda_005,0.208602,0.3681,0.5667,12.01,12,0.34021087653203513,0.1596813301004502,0.20331707317073164,0.9933552220137586,0.2913304692043851,24
LDA,lda_001,0.203859,0.3755,0.5429,12.14,14,0.33247547520610615,0.1853134741946657,0.15687804878048786,0.9931519699812382,0.28624121435630695,25
LDA,lda_018,0.19965,0.363,0.55,12.44,10,0.3256109792793013,0.1420159334949774,0.17073170731707324,0.9926829268292683,0.2729102085290569,26
LDA,lda_006,0.195734,0.3754,0.5214,7.81,14,0.31922433968572383,0.18496709386906823,0.1149268292682926,0.9999218261413383,0.27212253818002163,27
LDA,lda_020,0.19701,0.3582,0.55,12.29,10,0.321305379553294,0.12538967786629723,0.17073170731707324,0.9929174484052533,0.26599653804254886,28
LDA,lda_013,0.190853,0.3601,0.53,8.37,10,0.3112638729195717,0.1319709040526497,0.13170731707317077,0.9990462789243277,0.25595379139045277,29
LDA,lda_007,0.192578,0.3473,0.5545,12.0,11,0.3140771909223606,0.087634222376169,0.17951219512195118,0.993370856785491,0.25319598449157776,30
LDA,lda_017,0.192578,0.3473,0.5545,12.06,11,0.3140771909223606,0.087634222376169,0.17951219512195118,0.993277048155097,0.2531912940600581,31
LDA,lda_012,0.192578,0.3473,0.5545,12.38,11,0.3140771909223606,0.087634222376169,0.17951219512195118,0.9927767354596623,0.25316627842528633,32
LDA,lda_004,0.186866,0.3685,0.5071,7.76,14,0.30476143878790846,0.16106685140284027,0.08702439024390239,1.0,0.25286758092419137,33
LDA,lda_002,0.190704,0.3288,0.58,11.56,10,0.3110208674804903,0.023553862140630318,0.22926829268292673,0.9940587867417136,0.24258214688208074,34
LDA,lda_011,0.17388,0.322,0.54,8.33,10,0.28358245468111654,0.0,0.151219512195122,0.9991088180112571,0.2078114479460897,35
LDA,lda_010,0.167456,0.3435,0.4875,8.56,8,0.27310549534783213,0.07447177000346386,0.04878048780487799,0.9987492182614134,0.20493256238160987,36
LDA,lda_016,0.167456,0.3435,0.4875,8.62,8,0.27310549534783213,0.07447177000346386,0.04878048780487799,0.9986554096310194,0.20492787195009018,37
LDA,lda_015,0.161135,0.3484,0.4625,8.46,8,0.2627965196402215,0.09144440595774152,0.0,0.9989055659787367,0.19563703392435897,38
LDA,lda_014,0.16525,0.3305,0.5,8.04,11,0.2695077101222366,0.02944232767578804,0.07317073170731704,0.9995622263914947,0.19472342551878105,39
LDA,lda_008,0.162099,0.3354,0.4833,11.78,12,0.26436871590380895,0.0464149636300657,0.04058536585365851,0.9937148217636023,0.19069322550464557,40
