id,title,year,cleaned_token_count,processed_token_count
40,Analisis Perbandingan Performa Laravel Inertia dan Laravel Blade pada Website Sistem Informasi Profile Organisasi,2025,418,225
41,Perbandingan Penggunaan Metode Reinforcement Learning dan Metode Finite-State Machine terhadap Kepuasan Pengguna (Studi Kasus: Pengembangan Game Mecha Runner),2025,539,316
42,Implementasi Text Mining Metode Ekstraksi Textrank dan Naive Bayes Classifier untuk Klasifikasi Jurnal Informatika Berdasarkan Abstrak Berbasis Website,2025,264,194
43,Pengembangan Sistem Informasi Point of Sales Berbasis Website untuk Optimalisasi Pengelolaan Penjualan serta Manajemen Multi-gudang dengan Analisis Kualitas Kode menggunakan PHPSTAN,2025,316,168
44,Prediksi Persediaan Barang Menggunakan Metode Weighted Moving Average Berdasarkan Penjualan pada Sistem Enterprise Resource Planning (ERP) Toko Batavia,2025,393,229
45,Implementasi Prediksi Pertumbuhan Penduduk Kecamatan Sidareja Cilacap dengan Algoritma Support Vector Machine Berbasis Website Menggunakan Framework Streamlit,2025,385,227
46,Penerapan Web Scraping dan Klasifikasi Support Vector Machine Untuk Menentukan Produk Terlaris Serta Tren Pasar Berdasarkan Kategori Pada Marketplace,2025,363,220
47,Analisis Perbandingan Performa Website Autonomous Maintenance Checklist (AM Checklist) Berbasis Framework CodeIgniter dan Laravel,2025,404,243
48,Optimalisasi Jaringan Hotspot dengan Dynamic Wireless Distribution System (WDS) Menggunakan Router Mikrotik,2025,235,145
49,Analisis User Experience pada Game dengan Metode Game Design Factors Questionnaire (Studi Kasus Mobile Legends: Bang Bang),2025,338,182
50,Sistem Informasi Geografis (SIG) dan Manajemen Jasa Servis Handphone Menggunakan Algoritma A-Star di Kabupaten Banyumas,2025,301,179
51,Penerapan Metode Simple Additive Weighting (SAW) Dalam Sistem Pendukung Keputusan Penentuan Penerima Beasiswa Program Indonesia Pintar Pada Siswa Smpn 01 Jatinegara Berbasis Website,2025,281,164
52,Implementasi Metode Hierarchical Clustering dengan Model ARIMA dalam Menentukan Klasterisasi Faktor-Faktor dan Prediksi Inflasi di Kabupaten Banyumas berbasis Website,2025,331,190
53,Perbandingan Performa Inertia-Vue dan Blade template Terhadap Website Sistem Informasi SEEO dengan Framework Laravel 11,2025,528,275
54,Integrasi Sistem Pakar dan XGBoost Untuk Prediksi Serangan Hama Padi Berdasarkan Data Cuaca,2025,305,163
55,Penerapan Metode User Centered Design (UCD) dan Model Incremental dalam Pengembangan Sistem Informasi Manajemen Uji Kompetensi,2025,481,282
56,"Analisis Performa Metode Naïve Bayes, K-Nearest Neighbors (K-NN), Dan Random Forest Untuk Prediksi Curah Hujan Di Kabupaten Cilacap",2025,392,216
57,Perancangan Sistem Informasi Inovator Unsoed Berbasis Website Menggunakan Metode Agile Development,2025,263,145
58,Klasifikasi Kualitas Beras pada Wilayah Kabupaten Banyumas berdasarkan Parameter Fisik Menggunakan Metode Decision Tree,2025,314,166
59,Implementasi Random Forest Regression Untuk Prediksi Tingkat Kriminalitas Berdasarkan Faktor Sosial di Wilayah Banyumas Berbasis Website,2025,149,96
60,Analisis Pengaruh Code Splitting dan Server-Side Rendering terhadap Performa dan SEO pada Aplikasi Point of Sale Berbasis Vue.js,2025,409,236
61,Identifikasi dan Klasifikasi Serangan Siber pada Eldiru Unsoed dengan Algoritma Random Forest,2025,409,238
62,Implementasi Website Tindak Lanjut Audit pada Sistem Informasi Jenderal Soedirman Quality Assurance (JELITA) di Lembaga Pusat Penjaminan Mutu dan Lembaga Pengembangan Pembelajaran (LPMPP) Unsoed,2025,350,229
63,Klasifikasi Cacar Monyet Menggunakan Convolutional Neural Networks (CNN) Arsitektur Pruned Residual Network-50 (ResNet-50) Pada Framework Flutter,2025,380,203
64,Analisis Kinerja Web Server Laravel Octane pada Sistem Informasi Dokumen Standar Mutu dan Kebijakan Penjaminan Mutu Internal pada Lembaga Pengembangan Pembelajaran dan Penjaminan Mutu (LP3M) Universitas Jenderal Soedirman,2025,509,306
65,Analisis Keterkaitan Pola Makan dan Gaya Hidup dalam Memprediksi Risiko Penyakit Menggunakan Algoritma Apriori dan Random Forest,2025,361,214
66,Deteksi Kesegaran Ikan Bandeng Berdasarkan Citra Mata Menggunakan Convolutional Neural network (CNN) Arsitektur MobileNetV3 Berbasis Mobile,2025,465,268
